prod_code,kind,name,image,price2,price3,content
25035,스니커즈/슬립온,점핑업 가죽 하이탑 스니커즈 6cm,//lovelyshoes.co.kr/web/product/medium/202205/85747b60fcb8e7cde261a27796fd8bc7.gif,59900,29900,"통통튀는 매력이 담긴 하이탑 스니커즈
바람이 솔솔~ 한여름까지 신어보세요!"
21974,스니커즈/슬립온,인생샷 키높이 삭스 스니커즈 7cm,//lovelyshoes.co.kr/web/product/medium/20200610/af45f4628907a90e031e95206a339245.gif,58900,53900,"2cm의 속굽과 5cm의 굽높이로 키높이 효과는 물론
여름내내 즐겨신어질 슬립온"
23935,플랫/로퍼,상승세 가죽 키높이 로퍼 6cm,//lovelyshoes.co.kr/web/product/medium/202302/7b254e1317dadf11e423d5155a6752f9.gif,49900,29900,"신는순간 다리라인 살려주는
마성의 키높이 가죽 로퍼 만나보세요♡"
13636,플랫/로퍼,[단독진행] 코티스 플랫슈즈 1cm,//lovelyshoes.co.kr/web/product/medium/202209/504b369bc933ae038b8e2f459a372381.gif,29900,19900,"데일리한 디자인과 멋스러운 11가지 컬러!
고객후기가 인정한 그 슈즈"
24022,플랫/로퍼,엔틱무드 가죽 키높이 로퍼 3cm,//lovelyshoes.co.kr/web/product/medium/202109/5e08726738fabe3959a9da32472a5242.gif,42900,32900,"천연소가죽 소재로 제작되어 탄탄하고 가벼우며
엔틱한 무드가 물씬 느껴지는 디자인의 키높이 로퍼"
23332,플랫/로퍼,[단독진행] 컬러퐁당 키높이 로퍼 2cm,//lovelyshoes.co.kr/web/product/medium/202302/b69f244d541c567845d8cd70f57eeb30.gif,51900,41900,"러블리에서만 만나볼 수 있는
예쁨 끝판왕 ""컬러퐁당"" 빠르게 겟하세요♥"
25979,플랫/로퍼,벤티니 키높이 플랫슈즈 3cm,//lovelyshoes.co.kr/web/product/medium/202303/fc1d1038aa83ba0f3cb71705296c6267.gif,29900,29900,"티나지 않게 다리 라인을 길고
슬림하게 해주는 플랫슈즈 :)"
25855,플랫/로퍼,포엘즈 미들힐 펌프스 5cm,//lovelyshoes.co.kr/web/product/medium/202302/e93e80f970628b643dae064eb3d08622.gif,47900,37900,"시크하고 모던한 느낌이 가득~
신을수록 예쁜 여리핏 펌프스-"
24762,플랫/로퍼,컬러칩스 플랫슈즈 3cm,//lovelyshoes.co.kr/web/product/medium/202203/6966f1129c75b49cf91d51702c53ca9b.gif,45900,45900,"동글동글 상큼하고 귀여운 포인트♥
발볼이 넓으분들도 예쁘고 편하게 착화가능!"
22363,플랫/로퍼,"세틸르 플랫&하이힐 1,7cm",//lovelyshoes.co.kr/web/product/medium/202204/72aefe6a7a02c821a037352c18c4627e.gif,45900,45900,"편안한 플랫슈즈와 페미닌 무드 하이힐로
취향에 맞게 스타일링 하기 좋아요 :)"
